Country Name,Country Code,TerraMarineProtected_2016_2018
Marshall Islands,MHL,0.2704412741925967
Middle income,MIC,12.2760774172633
North Macedonia,MKD,9.65368070242053
Mali,MLI,8.231601176254166
Malta,MLT,6.394706379873534
Myanmar,MMR,4.442650174900277
Middle East & North Africa (excluding high income),MNA,6.02027086991331
Montenegro,MNE,3.6528034385340504
Mongolia,MNG,17.610332812720234
Northern Mariana Islands,MNP,33.22657550053543
Mozambique,MOZ,13.4487141246543
Mauritania,MRT,1.0807180369974734
Mauritius,MUS,0.0114967077962867
Malawi,MWI,20.8819875759925
Malaysia,MYS,8.961525080236022
North America,NAC,16.322069408225
Namibia,NAM,23.2471573341205
New Caledonia,NCL,95.92989426945587
Niger,NER,17.317106720942633
Nigeria,NGA,11.610711390559667
Nicaragua,NIC,15.497995778881934
Netherlands,NLD,20.10409704785233
Norway,NOR,5.0279954116868835
Nepal,NPL,23.626062635718
Nauru,NRU,0.0
New Zealand,NZL,30.496271743022135
OECD members,OED,19.0349910311601
Oman,OMN,1.0183092004120533
Other small states,OSS,21.94314510029987
Pakistan,PAK,9.794938774260068
Panama,PAN,5.2349708242912705
Peru,PER,13.132022055106534
Philippines,PHL,3.1414010565674833
Palau,PLW,82.94155486965597
Papua New Guinea,PNG,0.6579919072028784
Poland,POL,38.054741477220404
Pre-demographic dividend,PRE,13.708117110184068
Puerto Rico,PRI,2.0192650616185133
"Korea, Dem. People’s Rep.",PRK,1.2603263220001732
Portugal,PRT,14.289474436432975
Paraguay,PRY,11.713278114442433
West Bank and Gaza,PSE,0.0
Pacific island small states,PSS,1.1252733700022768
Post-demographic dividend,PST,19.347688483416533
French Polynesia,PYF,0.00585195931625794
Qatar,QAT,3.4082582649809523
Romania,ROU,23.733280380587434
Russian Federation,RUS,7.614558231934563
Rwanda,RWA,9.114446522380954
South Asia,SAS,4.978720170211453
Saudi Arabia,SAU,4.365896921194153
Sudan,SDN,2.753282878181363
Senegal,SEN,14.548031999204634
Singapore,SGP,2.4709260617440365
Solomon Islands,SLB,0.15530749273618935
Sierra Leone,SLE,3.29706117853147
El Salvador,SLV,2.1518618973499435
San Marino,SMR,0.0
Somalia,SOM,0.275761206469385
Serbia,SRB,6.458621609820217
Sub-Saharan Africa (excluding high income),SSA,15.504872786913632
South Sudan,SSD,15.501528128599498
Sub-Saharan Africa,SSF,15.503056850368834
Small states,SST,18.917337819099902
Sao Tome and Principe,STP,0.244513083128251
Suriname,SUR,8.483120113885272
Slovak Republic,SVK,37.51478080125779
Slovenia,SVN,55.07951323923094
Sweden,SWE,14.2663922355457
Eswatini,SWZ,4.18718793422422
Sint Maarten (Dutch part),SXM,7.084360420246381
Seychelles,SYC,0.0513681336614833
Syrian Arab Republic,SYR,0.6628455829869181
Turks and Caicos Islands,TCA,0.3875463431405303
Chad,TCD,20.354438993057567
East Asia & Pacific (IDA & IBRD countries),TEA,12.613118438421134
Europe & Central Asia (IDA & IBRD countries),TEC,7.3835899196965835
Togo,TGO,21.791172744253803
Thailand,THA,12.5097536535079
Tajikistan,TJK,22.2786368960714
Turkmenistan,TKM,3.2122359900563704
Latin America & the Caribbean (IDA & IBRD countries),TLA,20.021139509151332
Timor-Leste,TLS,4.422699306705517
Middle East & North Africa (IDA & IBRD countries),TMN,6.02027086991331
Tonga,TON,1.5216451409345735
South Asia (IDA & IBRD),TSA,4.978720170211449
Sub-Saharan Africa (IDA & IBRD countries),TSS,15.503056850368834
Trinidad and Tobago,TTO,2.01445754525867
Tunisia,TUN,5.208602774952687
Turkey,TUR,0.190643185276385
Tuvalu,TUV,0.00859844199859487
Tanzania,TZA,30.928037260372605
Uganda,UGA,16.0639942852533
Ukraine,UKR,3.875411416832277
Upper middle income,UMC,12.414620723560601
Uruguay,URY,2.3050545322504266
United States,USA,26.32745564025667
Uzbekistan,UZB,3.3751621369369604
St. Vincent and the Grenadines,VCT,0.4663291115017354
"Venezuela, RB",VEN,36.902549088729074
British Virgin Islands,VGB,0.04073264672452153
Virgin Islands (U.S.),VIR,0.9862820635060232
Vietnam,VNM,2.92948709236072
Vanuatu,VUT,0.09073080354350764
World,WLD,14.1513338615483
Samoa,WSM,0.23769262368444802
Kosovo,XKX,0.0
"Yemen, Rep.",YEM,0.6058027333676247
South Africa,ZAF,11.1687688205621
Zambia,ZMB,37.92969058215553
Zimbabwe,ZWE,27.21457092024453
