country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_recycling_percent
0,0.0,23.34,4.11,3.07,14.11,30.01,20.23,0.6,0.0,4.43,0.0
Tanzania,46775259595.7984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uganda,27483055271.6416,74.5,0.8,0.6,10.6,6.0,7.6,0.0,0.0,0.0,6.0
Ukraine,124000201623.066,37.0,5.0,4.0,22.0,25.0,7.0,0.0,0.0,0.0,3.2
Uruguay,48362932954.0502,53.5,3.0,5.0,7.5,20.0,11.0,0.0,0.0,0.0,8.0
United States,16920327941800.0,14.9,4.4,9.0,3.2,26.6,12.9,9.5,6.2,13.3,34.6
Uzbekistan,62469088151.5761,40.0,3.0,2.0,17.5,17.5,2.5,1.5,4.0,0.0,0.0
St. Vincent and the Grenadines,729264939.5984321,49.6,5.6,3.8,10.5,22.1,8.4,0.0,0.0,0.0,0.0
"Venezuela, RB",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
British Virgin Islands,0.0,6.5,18.1,8.6,4.8,33.5,6.3,0.0,22.2,0.0,0.0
Virgin Islands (U.S.),0.0,46.0,7.0,7.0,12.0,15.0,13.0,0.0,0.0,0.0,0.0
Vietnam,164104855205.203,61.9,2.18,0.58,15.18,5.2,12.15,0.6,3.74,0.0,23.0
Vanuatu,777052317.457476,73.4,5.4,3.8,5.7,4.05,6.45,1.2,0.0,0.0,37.0
Samoa,738041747.031935,42.6,2.2,8.8,19.4,7.2,13.0,6.8,0.0,0.0,36.0
Kosovo,7129271791.568541,42.0,6.0,6.0,20.0,8.0,11.0,0.0,7.0,0.0,0.0
"Yemen, Rep.",11927030389.4484,65.0,1.0,6.0,6.0,7.0,10.0,1.0,3.0,1.0,8.0
South Africa,421208662669.69,16.381654627302726,5.200216370472019,16.9104608968452,45.02064556592234,9.396918237794267,7.090104301663433,0.0,0.0,0.0,28.0
Zambia,27037168289.1747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zimbabwe,14818986230.9668,36.0,5.0,6.0,3.0,27.0,23.0,0.0,0.0,0.0,16.0
